127.0.0.1 - - [03/Jun/2017:13:24:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:16 +0530] "GET /collobrationFE/ HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/lib/angularjs/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/lib/angularjs/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/lib/angularjs/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/controllers/usercontroller.js HTTP/1.1" 200 5202
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/controllers/Chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/controllers/forumcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/controllers/friendcontroller.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/service/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/service/userservice.js HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/service/Chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/service/forumservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:17 +0530] "GET /collobrationFE/service/friendservice.js HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:18 +0530] "GET /collobrationFE/common/header.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:18 +0530] "GET /collobrationFE/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:18 +0530] "GET /collobrationFE/common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/controllers/Chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/controllers/forumcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/service/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/service/Chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/service/forumservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:58 +0530] "GET /collobrationFE/common/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:24:59 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:25:10 +0530] "GET /collobrationFE/htmlpages/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:25:40 +0530] "POST /collobrationRS/login HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:25:40 +0530] "POST /collobrationRS/login HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:25:55 +0530] "GET /collobrationRS/getAllUsers HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:25:55 +0530] "GET /collobrationFE/htmlpages/showallusers.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:26:00 +0530] "GET /collobrationRS/getAllUsers HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:26:34 +0530] "POST /collobrationRS/savefriend/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:27:19 +0530] "GET /collobrationRS//ForumAllList HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:27:19 +0530] "GET /collobrationFE/htmlpages/showallforums.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:27:19 +0530] "GET /collobrationRS/CommentsList HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:27:27 +0530] "GET /collobrationRS/getAllUsers HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [03/Jun/2017:13:27:31 +0530] "GET /collobrationFE/htmlpages/createnewforum.html HTTP/1.1" 200 1576
