127.0.0.1 - - [05/Jun/2017:14:02:35 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:36 +0530] "GET /collobrationFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/controllers/Chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/controllers/forumcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/controllers/friendcontroller.js HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/service/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/service/Chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/service/forumservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:37 +0530] "GET /collobrationFE/service/friendservice.js HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:38 +0530] "GET /collobrationFE/common/header.html HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:38 +0530] "GET /collobrationFE/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:39 +0530] "GET /collobrationRS/myFriends HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [05/Jun/2017:14:02:40 +0530] "GET /collobrationRS/getAllUsers HTTP/1.1" 200 868
