0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:49:43 +0530] "GET /collobrationFE/common/footer.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:50:37 +0530] "GET /collobrationFE/htmlpages/login.html HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:50:42 +0530] "POST /collobrationRS/login HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:50:44 +0530] "PUT /collobrationRS/listfriendbyuserid/ HTTP/1.1" 405 1088
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/ HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/lib/angularjs/sockjs.js HTTP/1.1" 200 79613
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/js/app.js HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/lib/angularjs/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/lib/angularjs/angular.js HTTP/1.1" 200 1187559
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/lib/angularjs/angular-route.js HTTP/1.1" 200 38847
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/controllers/usercontroller.js HTTP/1.1" 200 5202
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/lib/angularjs/stomp.js HTTP/1.1" 200 16725
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/controllers/blogcontroller.js HTTP/1.1" 200 9126
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/controllers/forumcontroller.js HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/controllers/Chatcontroller.js HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/controllers/friendcontroller.js HTTP/1.1" 200 1663
